level_1_name,level_2_name,level_1_code,level_2_code
Miranda,Lander (Ocumare del Tuy),,
Miranda,Los Salias (San Antonio de los Altos),,
Miranda,Páez (Río Chico),,
Miranda,Paz Castillo (Santa Lucía),,
Miranda,Pedro Gual (Cúpira),,
Miranda,Plaza (Guarenas),,
Miranda,Simón Bolívar (San Francisco de Yare),,
Miranda,Sucre (Petare),,
Miranda,Urdaneta (Cúa),,
Miranda,Zamora (Guatire),,
Monagas,Acosta (San Antonio de Capayacuar),,
Monagas,Aguasay,,
Monagas,Bolívar (Caripito),,
Monagas,Caripe,,
Monagas,Cedeño (Caicara de Maturín),,
Monagas,Libertador (Temblador),,
Monagas,Maturín,,
Monagas,Piar (Aragua de Maturín),,
Monagas,Punceres (Quiriquire),,
Monagas,Santa Bárbara,,
Monagas,Sotillo (Barrancas del Orinoco),,
Monagas,Uracoa,,
Monagas,Zamora (Punta de Mata),,
Nueva Esparta,Antolín del Campo (La Plaza de Paraguachí),,
Nueva Esparta,Arismendi (La Asunción),,
Nueva Esparta,Díaz (San Juan Bautista),,
Nueva Esparta,García (El Valle del Espíritu Santo),,
Nueva Esparta,Gómez (Santa Ana),,
Nueva Esparta,Maneiro (Pampatar),,
Nueva Esparta,Marcano (Juan Griego),,
Nueva Esparta,Mariño (Porlamar),,
Nueva Esparta,Península de Macanao (Boca de Río),,
Nueva Esparta,Tubores (Punta de Piedras),,
Nueva Esparta,Villalba (San Pedro de Coche),,
Portuguesa,Agua Blanca,,
Portuguesa,Araure,,
Portuguesa,Esteller (Píritu),,
Portuguesa,Guanare,,
Portuguesa,Guanarito,,
Portuguesa,Monseñor José Vicenti de Unda (Chabasquén de Unda),,
Portuguesa,Ospino,,
Portuguesa,Páez (Acarigua),,
Portuguesa,Papelón,,
Portuguesa,San Genaro de Boconoíto (Boconoíto),,
Portuguesa,San Rafael de Onoto,,
Portuguesa,Santa Rosalía (El Playón),,
Portuguesa,Sucre (Biscucuy),,
Portuguesa,Turén (Villa Bruzual),,
Sucre,Andrés Eloy Blanco (Casanay),,
Sucre,Andrés Mata (San José de Aerocuar),,
Sucre,Arismendi (Río Caribe),,
Sucre,Benítez (El Pilar),,
Sucre,Bermúdez (Carúpano),,
Sucre,Bolívar (Marigüitar),,
Sucre,Cajigal (Yaguaraparo),,
Sucre,Cruz Salmerón Acosta (Araya),,
Sucre,Libertador (Tunapuy),,
Sucre,Mariño (Irapa).,,
Sucre,Mejía (San Antonio del Golfo),,
Sucre,Montes (Cumanacoa),,
Sucre,Ribero (Cariaco),,
Sucre,Sucre (Cumaná),,
Sucre,Valdez (Güiria),,
Táchira,Andrés Bello (Cordero),,
Táchira,Antonio Rómulo Costa (Las Mesas),,
Táchira,Ayacucho (Colón),,
Táchira,Bolívar (San Antonio del Táchira),,
Táchira,Cárdenas (Táriba),,
Táchira,Córdoba (Santa Ana de Táchira),,
Táchira,Fernández Feo (San Rafael del Piñal),,
Táchira,Francisco de Miranda (San José de Bolívar),,
Táchira,García de Hevia (La Fría),,
Táchira,Guásimos (Palmira),,
Táchira,Independencia (Capacho Nuevo),,
Táchira,Jáuregui (La Grita),,
Táchira,José María Vargas (El Cobre),,
Táchira,Junín (Rubio),,
Táchira,Libertad (Capacho Viejo),,
Táchira,Libertador (Abejales),,
Táchira,Lobatera,,
Táchira,Michelena,,
Táchira,Panamericano (Coloncito),,
Táchira,Pedro María Ureña (Ureña),,
Táchira,Rafael Urdaneta (Delicias),,
Táchira,Samuel Dario Maldonado (La Tendida),,
Táchira,San Cristóbal,,
Táchira,San Judas Tadeo (Umuquena),,
Táchira,Seboruco,,
Táchira,Simón Rodríguez (San Simon),,
Táchira,Sucre (Queniquea),,
Táchira,Torbes (San Josecito),,
Táchira,Uribante (Pregonero),,
Trujillo,Andrés Bello (Santa Isabel),,
Trujillo,Boconó,,
Trujillo,Bolívar (Sabana Grande),,
Trujillo,Campos Elías,,
Trujillo,Candelaria (Chejendé),,
Trujillo,Carache,,
Trujillo,Carvajal (Carvajal),,
Trujillo,Escuque,,
Trujillo,La Ceiba (Santa Apolonia),,
Trujillo,Márquez Cañizales (El Paradero),,
Trujillo,Miranda (El Dividive),,
Trujillo,Monte Carmelo,,
Trujillo,Motatán,,
Trujillo,Pampán,,
Trujillo,Pampanito,,
Trujillo,Rangel (Betijoque),,
Trujillo,Sucre (Sabana de Mendoza),,
Trujillo,Trujillo,,
Trujillo,Urdaneta (La Quebrada),,
Trujillo,Valera,,
Vargas,Parroquia Caraballeda,,
Vargas,Parroquia Carayaca,,
Vargas,Parroquia Carlos Soublette,,
Vargas,Parroquia Caruao,,
Vargas,Parroquia Catia La Mar,,
Vargas,Parroquia El Junko,,
Vargas,Parroquia La Guaira,,
Vargas,Parroquia Macuto,,
Vargas,Parroquia Maiquetía,,
Vargas,Parroquia Naiguatá,,
Vargas,Parroquia Urimare,,
Yaracuy,Arístides Bastidas (San Pablo),,
Yaracuy,Bolívar (Aroa),,
Yaracuy,Bruzual (Chivacoa),,
Yaracuy,Cocorote,,
Yaracuy,Independencia,,
Yaracuy,La Trinidad (Boraure),,
Yaracuy,Monge (Yumare),,
Yaracuy,Nirgua,,
Yaracuy,Páez (Sabana de Parra),,
Yaracuy,Peña (Yaritagua),,
Yaracuy,San Felipe,,
Yaracuy,Sucre (Guama),,
Yaracuy,Urachiche,,
Yaracuy,Veroes (Farriar),,
Zulia,Baralt (San Timoteo),,
Zulia,Bolívar (Tía Juana),,
Zulia,Cabimas,,
Zulia,Catatumbo (Encontrados),,
Zulia,Colón (San Carlos del Zulia),,
Zulia,Guajira (Sinamaica),,
Zulia,La Cañada de Urdaneta (Concepción),,
Zulia,Lagunillas (Ciudad Ojeda),,
Zulia,Lossada (La Concepción),,
Zulia,Machiques,,
Zulia,Mara (San Rafael del Moján),,
Zulia,Maracaibo,,
Zulia,Miranda (Los Puertos de Altagracia),,
Zulia,Padilla (El Toro),,
Zulia,Pulgar (Pueblo Nuevo,,
Zulia,Rosario (La Villa del Rosario),,
Zulia,San Francisco,,
Zulia,Santa Rita,,
Zulia,Semprún (Casigua El Cubo),,
Zulia,Sucre (Bobures),,
Zulia,Valmore Rodríguez (Bachaquero),,
