Estado|Municipio|poblacion 2022|población 2020
Lara|Simón Planas (Sarare)|42095|41089
Lara|Torres (Carora)|215536|211170
Lara|Urdaneta (Siquisique)|71095|69823
Mérida|Adriani (El Vigía)|170995|165458
Mérida|Andrés Bello (La Azulita)|17613|17111
Mérida|Aricagua (Aricagua)|5223|5068
Mérida|Briceño (Torondoy)|6122|5921
Mérida|Campo Elías (Ejido)|137107|132332
Mérida|Chacón (Canaguá)|16111|15648
Mérida|Dávila (Bailadores)|25733|24858
Mérida|Febres Cordero (Nueva Bolivia)|41068|40082
Mérida|Guaraque (Guaraque)|11216|10872
Mérida|Libertador (Mérida)|308142|299191
Mérida|Marquina (Tabay)|24455|23625
Mérida|Miranda (Timotes)|28152|27261
Mérida|Noguera (Santa María de Caparo)|3997|3864
Mérida|Parra Olmedo (Tucaní)|34410|33423
Mérida|Pinto Salinas (Santa Cruz de Mora)|30047|29115
Mérida|Pueblo Llano (Pueblo Llano)|13483|13103
Mérida|Quintero (Santo Domingo)|11817|11480
Mérida|Ramos de Lora (Santa Elena de Arenales)|30790|29852
Mérida|Rangel (Mucuchíes)|24097|23312
Mérida|Salas (Arapuey)|17987|17455
Mérida|Sucre (Lagunillas)|73744|71271
Mérida|Zea|13986|13572
Mérida|Tovar|47255|46051
Miranda|Acevedo (Caucagua)|101403|99810
Miranda|Andrés Bello (San José de Barlovento)|24057|23688
Miranda|Baruta|384413|377558
Miranda|Brión (Higuerote)|71097|69938
Miranda|Buroz (Mamporal)|31392|30918
Miranda|Carrizal|59797|58821
Miranda|Chacao|81415|80011
Miranda|Cristóbal Rojas (Charallave)|149629|147149
Miranda|El Hatillo|95483|93970
Miranda|Guaicaipuro (Los Teques)|307662|302006
Miranda|Independencia (Santa Teresa del Tuy)|168619|165268
Miranda|Lander (Ocumare del Tuy)|181433|178093
Miranda|Los Salias (San Antonio de los Altos)|80407|79056
Miranda|Páez (Río Chico)|44353|43671
Miranda|Paz Castillo (Santa Lucía)|131216|129215
Miranda|Pedro Gual (Cúpira)|25126|24745
Miranda|Plaza (Guarenas)|253016|248588
Miranda|Simón Bolívar (San Francisco de Yare)|50920|50165
Miranda|Sucre (Petare)|730183|718203
Miranda|Urdaneta (Cúa)|177568|174534
Miranda|Zamora (Guatire)|231587|227666
Monagas|Acosta (San Antonio de Capayacuar)|20269|19904
Monagas|Aguasay|13567|13308
Monagas|Bolívar (Caripito)|44375|43448
Monagas|Caripe|39403|38586
Monagas|Cedeño (Caicara de Maturín)|40922|40035
Monagas|Libertador (Temblador)|50911|49934
Monagas|Maturín|637082|623400
Monagas|Piar (Aragua de Maturín)|52057|51147
Monagas|Punceres (Quiriquire)|31175|30715
Monagas|Santa Bárbara|11099|10860
Monagas|Sotillo (Barrancas del Orinoco)|27218|26791
Monagas|Uracoa|10745|10551
Monagas|Zamora (Punta de Mata)|74656|73082
Nueva Esparta|Antolín del Campo (La Plaza de Paraguachí)|37499|35663
Nueva Esparta|Arismendi (La Asunción)|38430|36563
Nueva Esparta|Díaz (San Juan Bautista)|94939|90387
Nueva Esparta|García (El Valle del Espíritu Santo)|90431|86166
Nueva Esparta|Gómez (Santa Ana)|54815|52108
Nueva Esparta|Maneiro (Pampatar)|68431|64983
Nueva Esparta|Marcano (Juan Griego)|48545|46098
Nueva Esparta|Mariño (Porlamar)|137137|130068
Nueva Esparta|Península de Macanao (Boca de Río)|35162|33422
Nueva Esparta|Tubores (Punta de Piedras)|49288|46825
Nueva Esparta|Villalba (San Pedro de Coche)|12032|11420
Portuguesa|Agua Blanca|25175|24496
Portuguesa|Araure|204553|198267
Portuguesa|Esteller (Píritu)|53530|52098
Portuguesa|Guanare|242436|235997
Portuguesa|Guanarito|45522|44234
Portuguesa|Monseñor José Vicenti de Unda (Chabasquén de Unda)|28716|27919
Portuguesa|Ospino|58838|57363
Portuguesa|Páez (Acarigua)|222441|215938
Portuguesa|Papelón|20116|19596
Portuguesa|San Genaro de Boconoíto (Boconoíto)|28244|27486
Portuguesa|San Rafael de Onoto|22339|21773
Portuguesa|Santa Rosalía (El Playón)|21174|20612
Portuguesa|Sucre (Biscucuy)|50288|48922
Portuguesa|Turén (Villa Bruzual)|77693|75898
Sucre|Andrés Eloy Blanco (Casanay)|32602|31766
Sucre|Andrés Mata (San José de Aerocuar)|24491|23811
Sucre|Arismendi (Río Caribe)|58310|56756
Sucre|Benítez (El Pilar)|38485|37542
Sucre|Bermúdez (Carúpano)|171370|167187
Sucre|Bolívar (Marigüitar)|27282|26517
Sucre|Cajigal (Yaguaraparo)|26213|25474
Sucre|Cruz Salmerón Acosta (Araya)|43451|42390
Sucre|Libertador (Tunapuy)|11854|11534
Sucre|Mariño (Irapa).|29793|28993
Sucre|Mejía (San Antonio del Golfo)|17419|16947
Sucre|Montes (Cumanacoa)|66070|64312
Sucre|Ribero (Cariaco)|74844|72982
Sucre|Sucre (Cumaná)|465225|451448
Sucre|Valdez (Güiria)|50898|49449
Táchira|Andrés Bello (Cordero)|22160|21913
Táchira|Antonio Rómulo Costa (Las Mesas)|11447|11288
Táchira|Ayacucho (Colón)|63253|62513
Táchira|Bolívar (San Antonio del Táchira)|67039|66392
Táchira|Cárdenas (Táriba)|140692|138402
Táchira|Córdoba (Santa Ana de Táchira)|35866|35452
Táchira|Fernández Feo (San Rafael del Piñal)|49602|48894
Táchira|Francisco de Miranda (San José de Bolívar)|4423|4365
Táchira|García de Hevia (La Fría)|53256|52407
Táchira|Guásimos (Palmira)|48884|48087
Táchira|Independencia (Capacho Nuevo)|40827|40169
Táchira|Jáuregui (La Grita)|45500|44762
Táchira|José María Vargas (El Cobre)|11000|10876
Táchira|Junín (Rubio)|94019|93197
Táchira|Libertad (Capacho Viejo)|29910|29545
Táchira|Libertador (Abejales)|24034|23709
Táchira|Lobatera|14176|14041
Táchira|Michelena|20820|20539
Táchira|Panamericano (Coloncito)|34549|34132
Táchira|Pedro María Ureña (Ureña)|57270|56509
Táchira|Rafael Urdaneta (Delicias)|6333|6263
Táchira|Samuel Dario Maldonado (La Tendida)|20227|19933
Táchira|San Cristóbal|292556|289852
Táchira|San Judas Tadeo (Umuquena)|8077|8000
Táchira|Seboruco|11232|11084
Táchira|Simón Rodríguez (San Simon)|2698|2671
Táchira|Sucre (Queniquea)|8042|7954
Táchira|Torbes (San Josecito)|55406|54669
Táchira|Uribante (Pregonero)|21891|21630
Trujillo|Andrés Bello (Santa Isabel)|21060|20398
Trujillo|Boconó|112463|109078
Trujillo|Bolívar (Sabana Grande)|20732|20067
Trujillo|Campos Elías|6701|6514
Trujillo|Candelaria (Chejendé)|36220|35144
Trujillo|Carache|35789|34814
Trujillo|Carvajal (Carvajal)|75289|72854
Trujillo|Escuque|35630|34560
Trujillo|La Ceiba (Santa Apolonia)|25262|24574
Trujillo|Márquez Cañizales (El Paradero)|5943|5748
Trujillo|Miranda (El Dividive)|28553|27714
Trujillo|Monte Carmelo|16372|15930
Trujillo|Motatán|26151|25437
Trujillo|Pampán|61253|59657
Trujillo|Pampanito|36981|35847
Trujillo|Rangel (Betijoque)|29098|28178
Trujillo|Sucre (Sabana de Mendoza)|39723|38427
Trujillo|Trujillo|73748|71362
Trujillo|Urdaneta (La Quebrada)|44050|42658
Trujillo|Valera|175496|171854
Yaracuy|Arístides Bastidas (San Pablo)|26432|25548
Yaracuy|Bolívar (Aroa)|39695|38508
Yaracuy|Bruzual (Chivacoa)|88687|86161
Yaracuy|Cocorote|54423|52803
Yaracuy|Independencia|78203|75851
Yaracuy|La Trinidad (Boraure)|22310|21588
Yaracuy|Monge (Yumare)|16143|15661
Yaracuy|Nirgua|72890|71159
Yaracuy|Páez (Sabana de Parra)|25118|24262
Yaracuy|Peña (Yaritagua)|131493|126935
Yaracuy|San Felipe|135095|130411
Yaracuy|Sucre (Guama)|25446|24570
Yaracuy|Urachiche|27639|26755
Yaracuy|Veroes (Farriar)|33531|32683
Zulia|Baralt (San Timoteo)|108713|105877
Zulia|Bolívar (Tía Juana)|51597|50229
Zulia|Cabimas|319035|312063
Zulia|Catatumbo (Encontrados)|48437|47167
Zulia|Colón (San Carlos del Zulia)|148724|145301
Zulia|Guajira (Sinamaica)|77950|76526
Zulia|La Cañada de Urdaneta (Concepción)|97784|95311
Zulia|Lagunillas (Ciudad Ojeda)|232027|227902
Zulia|Lossada (La Concepción)|138500|135586
Zulia|Machiques|145056|141976
Zulia|Mara (San Rafael del Moján)|234196|230409
Zulia|Maracaibo|1823841|1776686
Zulia|Miranda (Los Puertos de Altagracia)|116423|113602
Zulia|Padilla (El Toro)|14746|14325
Zulia|Pulgar (Pueblo Nuevo|38914|38051
Zulia|Rosario (La Villa del Rosario)|101839|99190
Zulia|San Francisco|541628|526504
Zulia|Santa Rita|68341|67108
Zulia|Semprún (Casigua El Cubo)|35203|34518
Zulia|Sucre (Bobures)|69705|68475
Zulia|Valmore Rodríguez (Bachaquero)|61243|59828
Distrito Capital|Libertador||2090479
Vargas|Vargas (La Guaira)||382123
