IPYS_level_1_name;IPYS_level_2_name;geo_level_1_name;geo_level_2_name;geo_level_1_code;geo_level_2_code
Amazonas;Alto Orinoco (La Esmeralda);Amazonas;Autónomo Alto Orinoco;VE02;VE0201
Amazonas;Atabapo (San Fernando de Atabapo);Amazonas;Autónomo Atabapo;VE02;VE0202
Amazonas;Atures (Puerto Ayacucho);Amazonas;Autónomo Atures;VE02;VE0203
Amazonas;Autana (Isla Ratón);Amazonas;Autónomo Autana;VE02;VE0204
Amazonas;Manapiare (San Juan de Manapiare);Amazonas;Manapiare;VE02;VE0206
Amazonas;Maroa;Amazonas;Autónomo Maroa;VE02;VE0205
Amazonas;Río Negro (San Carlos de Río Negro);Amazonas;Autónomo Rio Negro;VE02;VE0207
Anzoátegui;Anaco;Anzoátegui;Anaco;VE03;VE0301
Anzoátegui;Aragua (Aragua de Barcelona);Anzoátegui;Aragua;VE03;VE0302
Anzoátegui;Bolívar (Barcelona);Anzoátegui;Simón Bolívar;VE03;VE0318
Anzoátegui;Bruzual (Clarines);Anzoátegui;Manuel Ezequiel Bruzual;VE03;VE0312
Anzoátegui;Cajigal (Onoto);Anzoátegui;Juan Manuel Cajigal;VE03;VE0309
Anzoátegui;Diego Bautista Urbaneja (Lechería);Anzoátegui;Diego Bautista Urbaneja;VE03;VE0321
Anzoátegui;Freites (Cantaura);Anzoátegui;Pedro María Freites;VE03;VE0313
Anzoátegui;Guanipa (San José de Guanipa);Anzoátegui;San José de Guanipa;VE03;VE0315
Anzoátegui;Guanta (Guanta);Anzoátegui;Guanta;VE03;VE0306
Anzoátegui;Independencia (Soledad);Anzoátegui;Independencia;VE03;VE0307
Anzoátegui;Libertad (San Mateo);Anzoátegui;Libertad;VE03;VE0311
